action_14024_intent_39950,Greetings
action_3898_intent_14987,Functionality
action_16649_intent_19656,Time
action_46733_intent_40577,Date
action_29383_intent_6364,Weather
action_18745_intent_28589,Day
action_23600_intent_17622,News
action_24288_intent_40415,News Topic
action_2877_intent_34691,Song
action_3293_intent_49781,Song Request
action_9274_intent_47295,Playlist
action_15116_intent_12878,Playlist Request
action_23706_intent_14853,Pause
action_1625_intent_19422,Play
action_12216_intent_30565,Play Liked Songs
action_13833_intent_13770,Next Song
action_40217_intent_43963,Previous Song
action_27995_intent_46177,Volume Up
action_18809_intent_18309,Volume Down
action_49032_intent_45855,Volume Set
action_25581_intent_35103,Add New Face
action_47594_intent_30967,Positive Behaviours
action_48497_intent_3527,Greet By Name
action_35544_intent_33738,Podcast Request
action_16356_intent_33422,Podcast
action_41798_intent_9675,Joke
